Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2023,Abe Ranczoz LLC,"534 Grand Street, Brooklyn, NY, 11211",534 Grand Street,Brooklyn,NY,11211,"$120,064.00",,NO
2023,Burrata Basil Pizza,"221 Avenue A, New York, NY, 10009",221 Avenue A,New York,NY,10009,"$116,853.00",1,NO
2023,Claudine Rankin,"235 East 22nd Street, New York, NY, 10010",235 East 22nd Street,New York,NY,10010,"$114,533.00",2,NO
2022,Concern Home Care Inc,"145-11 Jamacia Avenue, Jamaica, NY, 11435",145-11 Jamacia Avenue,Jamaica,NY,11435,"$114,513.00",3,NO
2022,Los Latinos Mini Market Corp.,"1301 Redfern Avenue, Far Rockaway, NY, 11691",1301 Redfern Avenue,Far Rockaway,NY,11691,"$114,197.00",,NO
2020,D.R. 505 Realty,"505 West 158th Street, New York, NY, 10032",505 West 158th Street,New York,NY,10032,"$114,018.00",,NO
2024,Tropical Bar Restaurant Lounge,"88-18 Jamaica Ave, Woodhaven, NY, 11421",88-18 Jamaica Ave,Woodhaven,NY,11421,"$114,015.00",,NO
2022,Pella Care,"1418 65th St, Brooklyn, NY, 11219",1418 65th St,Brooklyn,NY,11219,"$112,507.00",5,NO
2023,Yolpaqui Taqueria LLC,"1431 Forest Avenue, Staten Island, NY, 10302",1431 Forest Avenue,Staten Island,NY,10302,"$112,452.00",6,NO
2021,Ampak,"8 Johnson Street, Staten Island, NY, 10309",8 Johnson Street,Staten Island,NY,10309,"$112,176.00",17,NO
2022,Pino Grocery Corp,"37-27 108th Street, Corona, NY, 11368",37-27 108th Street,Corona,NY,11368,"$112,153.00",,NO
2020,Adams Bagels and Deli,"63-56 Woodhaven Blvd, Rego Park, NY, 11374",63-56 Woodhaven Blvd,Rego Park,NY,11374,"$111,023.00",,NO
2020,Nieto Landscaping,"480 Wild Ave, Staten Island, NY, 10314",480 Wild Ave,Staten Island,NY,10314,"$110,633.00",,NO
2020,First Stop Grocery,"643 Marcy Ave, Brooklyn, NY, 11206",643 Marcy Ave,Brooklyn,NY,11206,"$109,875.00",3,NO
2021,La Gran Uruguaya Bakery,"85-06 37th Avenue, Jackson Heights, NY, 11372",85-06 37th Avenue,Jackson Heights,NY,11372,"$109,820.00",,NO
2022,Michael Knox,"30 Fleet Walk, Brooklyn, NY, 11201",30 Fleet Walk,Brooklyn,NY,11201,"$108,360.00",1,NO
2020,Krolewski Jadlo of Ridgewood,"66-21 Fresh Pond Rd, Ridgewood, NY, 11385",66-21 Fresh Pond Rd,Ridgewood,NY,11385,"$107,423.00",1,NO
2024,Jam Rock Bistro,"1009 Rutland Road, Brooklyn, NY, 11212",1009 Rutland Road,Brooklyn,NY,11212,"$105,663.00",,NO
2021,Allure Marketing,"690 8th Ave, New York, NY, 10036",690 8th Ave,New York,NY,10036,"$105,303.00",1,NO
2020,Tortilleria Nixtamal LLC,"104-23 Roosevelt Ave, Corona, NY, 11368",104-23 Roosevelt Ave,Corona,NY,11368,"$105,162.00",,NO
2022,Eagle Home Care Agency,"504a East Tremont Ave, Bronx, NY, 10457",504a East Tremont Ave,Bronx,NY,10457,"$102,778.00",4,NO
2023,Fresh Food Center Inc. & Zahir Bahiy AKA John,"820 2nd Avenue, New York, NY, 10012",820 2nd Avenue,New York,NY,10012,"$102,740.00",,NO
2021,99 Cents Best Discount Store,"912 E 233 St, Bronx, NY, 10466",912 E 233 St,Bronx,NY,10466,"$102,694.00",1,NO
2022,"TIP TOP UNISEX SALON, INC.","44-01 Kissena Boulevard, Flushing, NY, 11355",44-01 Kissena Boulevard,Flushing,NY,11355,"$101,178.00",,NO
2023,Associated,"216 5th Avenue, Brooklyn, NY, 11215",216 5th Avenue,Brooklyn,NY,11215,"$99,031.00",,NO
2020,Wiesner Food Center Inc,"5918 18th Ave, Brooklyn, NY, 11204",5918 18th Ave,Brooklyn,NY,11204,"$97,030.00",,NO
2023,Load Laundromat LLC,"602 East 14th Street, New York, NY, 10009",602 East 14th Street,New York,NY,10009,"$96,892.00",,NO
2020,Cantaloupe LLC T/A Lovely Day,"122 Elizabeth Street, New York, NY, 10013",122 Elizabeth Street,New York,NY,10013,"$94,687.00",1,NO
2021,Goodyear Bus Tour Inc.,"60 Henry Street, New York, NY, 10002",60 Henry Street,New York,NY,10002,"$94,461.00",,NO
2022,MBARETE CONTRACTING CORP,"6633 Fresh Pond Rd, Queens, NY, 11385",6633 Fresh Pond Rd,Queens,NY,11385,"$93,131.00",,NO
2020,MKM Parking,"380 Bruckner Blvd, Bronx, NY, 10454",380 Bruckner Blvd,Bronx,NY,10454,"$93,103.00",1,NO
2023,Beach Laundry World Inc,"1447 Beach Ave., Bronx, NY, 10460",1447 Beach Ave.,Bronx,NY,10460,"$93,098.00",,NO
2021,Trattoria Bambino's Pizza,"80-01 Myrtle Avenue, Glendale, NY, 11385",80-01 Myrtle Avenue,Glendale,NY,11385,"$92,826.00",,NO
2022,Macareno Central,"6810 Fourth Avenue, Brooklyn, NY, 11220",6810 Fourth Avenue,Brooklyn,NY,11220,"$92,424.00",,NO
2023,Infopeople,"450 7th Ave., New York, NY, 10123",450 7th Ave.,New York,NY,10123,"$92,092.00",,NO
2022,Mazal Glatt Supermarket Inc,"72-02 Main Street, Flushing, NY, 11367",72-02 Main Street,Flushing,NY,11367,"$91,920.00",,NO
2021,Reliable Site Development Inc.,"27 Sea Gate Road, Staten Island, NY, 10305",27 Sea Gate Road,Staten Island,NY,10305,"$91,534.00",1,NO
2021,Milk and Cookies Kids Spa and Salon,"1196 First Avenue, New York, NY, 10065",1196 First Avenue,New York,NY,10065,"$91,393.00",,NO
2022,Patrizia's of Staten Island,"4255 Amboy Road, Staten Island, NY, 10308",4255 Amboy Road,Staten Island,NY,10308,"$90,369.00",,NO
2023,C Town,"4705 5th Avenue, Brooklyn, NY, 11220",4705 5th Avenue,Brooklyn,NY,11220,"$88,946.00",42,NO
2020,Richards Diner Inc,"9606 Avenue L, Brooklyn, NY, 11236",9606 Avenue L,Brooklyn,NY,11236,"$87,600.00",1,NO
2020,El Callao,"111-22 Roosvelt Avenue, Corona, NY, 11368",111-22 Roosvelt Avenue,Corona,NY,11368,"$87,543.00",,NO
2021,Brisa Del Cibao Restaurant,"37-79 103rd Street, Corona, NY, 11368",37-79 103rd Street,Corona,NY,11368,"$87,329.00",,NO
2022,5 De Mayo Food Market & Carniceria,"81-06 Roosevelt Avenue, Elmhurst, NY, 11373",81-06 Roosevelt Avenue,Elmhurst,NY,11373,"$86,771.00",,NO
2023,Cuisine De La Stephen LLC,"1438 Metropolitan Ave, Bronx, NY, 10462",1438 Metropolitan Ave,Bronx,NY,10462,"$86,701.00",,NO
2022,Wise Bar & Grill,"35 Neptune Avenue, Brooklyn, NY, 11235",35 Neptune Avenue,Brooklyn,NY,11235,"$86,473.00",,NO
2022,All American Homecare Agency Inc,"1 W. 34th St., New York, NY, 10001",1 W. 34th St.,New York,NY,10001,"$85,922.00",1,NO
2022,Paramount Home Care Agency,"161 Kings Highway, Brooklyn, NY, 11223",161 Kings Highway,Brooklyn,NY,11223,"$85,700.00",7,NO
2021,The Patio Restaurant Peruvian Kitchen,"6111 5th Avenue, Brooklyn, NY, 11220",6111 5th Avenue,Brooklyn,NY,11220,"$84,069.00",,NO
2024,Gala Apple International Inc,"4112 18th Avenue, Brooklyn, NY, 11218",4112 18th Avenue,Brooklyn,NY,11218,"$83,800.00",,NO
2024,Alex Contractor,"88-06 162nd Street, Jamaica, NY, 11432",88-06 162nd Street,Jamaica,NY,11432,"$83,768.00",,NO
2021,King Polo Inc.T/A Shopfair,"153-30 89th Avenue, Jamaica, NY, 11432",153-30 89th Avenue,Jamaica,NY,11432,"$83,322.00",,NO
